0	1	1;
0   2   1;
0	3	-1;
0	8	1;
0	9	1;
0	5	1;
1	0	1;
1   2   1;
1   3   1;
1	8	1;
1	6	1;
1	10	-1;
2   0   1;
2   1   1;
2	4	-1;
2	6	-1;
2	7	1;
2	10	1;
3	0	1;
3	2	-1;
3	7	-1;
3	10	1;
4	5	1;
4	6	-1;
4	1	-1;
5	7	-1;
5	8	1;
5	0	1;
6	8	-1;
6	7	-1;
6	2	1;
6	10	1;
7	1	1;
7	4	1;
7	0	-1;
8	1	1;
8	4	-1;
8	3	1;
9	0	1;
9	10	-1;
9	6	-1;
10	8	1;
10	1	1;
10	3	-1;
10	10	-1;
10	5	1;
10	4	1;
11	3	1;
11	12	-1;
12	10	1;
12	4	-1;
12	7	1;
13	5	-1;
13	6	1;
13	1	1;
13	3	-1;
14	2	1;
14	9	-1;
15	0	-1;
16	1	1;
16	10	-1;
17	10	-1;
17	11	1;
9	17	-1;
9	16	1;
10	15	1
